basket,dir,level,dprice,adverse,dt_s,lot_prev,lot_new
L181,long,1,0.05999999999994543,-0.05999999999994543,3.0,0.02,0.02
L182,long,1,-1.6700000000000728,1.6700000000000728,59.0,0.02,0.02
L182,long,2,-3.230000000000018,3.230000000000018,215.0,0.02,0.03
L182,long,3,-1.3699999999998909,1.3699999999998909,11.0,0.03,0.04
L182,long,4,-2.0900000000001455,2.0900000000001455,250.0,0.04,0.05
L182,long,5,-11.289999999999964,11.289999999999964,54.0,0.05,0.06
L182,long,6,1.0199999999999818,-1.0199999999999818,4.0,0.06,0.08
L182,long,7,-2.7800000000002,2.7800000000002,13.0,0.08,0.11
L182,long,8,-1.0,1.0,8.0,0.11,0.14
L183,long,1,-1.800000000000182,1.800000000000182,31.0,0.02,0.02
L183,long,2,-0.819999999999709,0.819999999999709,37.0,0.02,0.03
L184,long,1,-1.0700000000001637,1.0700000000001637,140.0,0.02,0.02
L184,long,2,-5.179999999999836,5.179999999999836,126.0,0.02,0.03
L184,long,3,-7.639999999999873,7.639999999999873,217.0,0.03,0.04
L184,long,4,-0.5700000000001637,0.5700000000001637,20.0,0.04,0.05
L184,long,5,-3.6399999999998727,3.6399999999998727,147.0,0.05,0.06
L184,long,6,-1.6200000000003456,1.6200000000003456,17.0,0.06,0.08
L184,long,7,-2.149999999999636,2.149999999999636,81.0,0.08,0.11
L184,long,8,-3.8700000000003456,3.8700000000003456,287.0,0.11,0.14
L184,long,9,-1.6599999999998545,1.6599999999998545,263.0,0.14,0.18
L184,long,10,-3.0099999999997635,3.0099999999997635,47.0,0.18,0.23
L184,long,11,-1.4900000000002365,1.4900000000002365,189.0,0.23,0.3
L184,long,12,-1.300000000000182,1.300000000000182,201.0,0.3,0.39
L184,long,13,-12.739999999999782,12.739999999999782,58.0,0.39,0.51
L184,long,14,1.8099999999999454,-1.8099999999999454,7.0,0.51,0.67
L184,long,15,4.349999999999909,-4.349999999999909,177.0,0.67,0.87
L187,long,1,-3.8899999999998727,3.8899999999998727,66.0,0.02,0.02
L187,long,2,-3.1900000000000546,3.1900000000000546,82.0,0.02,0.03
L187,long,3,-2.6100000000001273,2.6100000000001273,44.0,0.03,0.04
L187,long,4,-2.8899999999998727,2.8899999999998727,49.0,0.04,0.05
L187,long,5,-1.599999999999909,1.599999999999909,127.0,0.05,0.06
L187,long,6,-3.2200000000002547,3.2200000000002547,65.0,0.06,0.08
L190,long,1,-1.7400000000002365,1.7400000000002365,71.0,0.02,0.02
L191,long,1,-2.9400000000000546,2.9400000000000546,141.0,0.02,0.02
L191,long,2,-2.4699999999998,2.4699999999998,125.0,0.02,0.03
L192,long,1,-2.3299999999999272,2.3299999999999272,146.0,0.02,0.02
L194,long,1,-2.599999999999909,2.599999999999909,52.0,0.02,0.02
L196,long,1,-4.820000000000164,4.820000000000164,198.0,0.02,0.02
