Open Time,Ticket,Type,Size,Item,Price,Order,Comment,Entry,Commission,Fee,Swap,Profit,_sheet,_stmt
2026.06.29 15:33:22,389370589,sell,0.02,XAUUSD-STDc,4043.01,523230873,copy #941187870,out,0,0,0,5.92,Sheet15,2026.06.30 23:59
2026.06.29 15:33:22,389370677,sell,0.02,XAUUSD-STDc,4043.01,523231034,copy #941187890,out,0,0,0,0.04,Sheet15,2026.06.30 23:59
2026.06.29 15:33:22,389370868,sell,0.03,XAUUSD-STDc,4043.02,523231223,copy #941187916,out,0,0,0,11.46,Sheet15,2026.06.30 23:59
2026.06.29 15:34:18,389377438,sell,0.02,XAUUSD-STDc,4042.58,523236275,copy #941192863,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:37:23,389398663,sell,0.02,XAUUSD-STDc,4046.43,523257745,copy #941207145,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:42:06,389418180,buy,0.02,XAUUSD-STDc,4043.12,523277380,copy #941222531,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 15:45:09,389423418,sell,0.02,XAUUSD-STDc,4045.59,523282729,copy #941227869,out,0,0,0,4.94,Sheet15,2026.06.30 23:59
2026.06.29 16:00:27,389483806,sell,0.03,XAUUSD-STDc,4049.01,523345250,copy #941269320,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:04:57,389509190,sell,0.04,XAUUSD-STDc,4050.4,523371039,copy #941288703,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:11:07,389531025,buy,0.04,XAUUSD-STDc,4044.8,523394851,copy #941305849,out,0,0,0,22.4,Sheet15,2026.06.30 23:59
2026.06.29 16:11:07,389531150,buy,0.02,XAUUSD-STDc,4044.81,523394768,copy #941305845,out,0,0,0,3.24,Sheet15,2026.06.30 23:59
2026.06.29 16:11:07,389531181,buy,0.03,XAUUSD-STDc,4044.85,523395144,copy #941306046,out,0,0,0,12.48,Sheet15,2026.06.30 23:59
2026.06.29 16:11:07,389531489,buy,0.02,XAUUSD-STDc,4045.02,523395481,copy #941306139,out,0,0,0,-4.88,Sheet15,2026.06.30 23:59
2026.06.29 16:11:19,389535021,buy,0.02,XAUUSD-STDc,4045.92,523397355,copy #941308196,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:12:33,389540736,sell,0.02,XAUUSD-STDc,4048.81,523403211,copy #941312499,out,0,0,0,5.78,Sheet15,2026.06.30 23:59
2026.06.29 16:22:05,389574223,buy,0.02,XAUUSD-STDc,4045.08,523437636,copy #941338854,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:25:44,389589422,buy,0.02,XAUUSD-STDc,4041.63,523453401,copy #941351943,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:27:37,389596957,buy,0.03,XAUUSD-STDc,4040.48,523461030,copy #941360059,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:30:16,389608618,buy,0.04,XAUUSD-STDc,4038.12,523473398,copy #941369954,in,0,0,0,0,Sheet15,2026.06.30 23:59
