Open Time,Ticket,Type,Size,Item,Price,S / L,T / P,Time,State,Comment,_sheet,_stmt
2026.06.30 09:40:10,528864705,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:40:11,filled,copy #944522707,Sheet15,2026.06.30 23:59
2026.06.30 09:40:11,528864877,buy,0.18 / 0.18,XAUUSD-STDc,market,0,0,2026.06.30 09:40:11,filled,copy #944522738,Sheet15,2026.06.30 23:59
2026.06.30 09:40:12,528865052,buy,0.24 / 0.24,XAUUSD-STDc,market,0,0,2026.06.30 09:40:12,filled,copy #944522798,Sheet15,2026.06.30 23:59
2026.06.30 09:40:13,528865229,buy,0.31 / 0.31,XAUUSD-STDc,market,0,0,2026.06.30 09:40:13,filled,copy #944522864,Sheet15,2026.06.30 23:59
2026.06.30 09:40:13,528865402,buy,0.41 / 0.41,XAUUSD-STDc,market,0,0,2026.06.30 09:40:13,filled,copy #944522944,Sheet15,2026.06.30 23:59
2026.06.30 09:40:14,528865570,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:40:14,filled,copy #944523013,Sheet15,2026.06.30 23:59
2026.06.30 09:40:14,528865743,buy,0.54 / 0.54,XAUUSD-STDc,market,0,0,2026.06.30 09:40:15,filled,copy #944523085,Sheet15,2026.06.30 23:59
2026.06.30 09:40:15,528865907,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:40:15,filled,copy #944523151,Sheet15,2026.06.30 23:59
2026.06.30 09:40:15,528866091,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 09:40:16,filled,copy #944523202,Sheet15,2026.06.30 23:59
2026.06.30 09:41:30,528871266,buy,0.11 / 0.11,XAUUSD-STDc,market,0,0,2026.06.30 09:41:30,filled,copy #944529817,Sheet15,2026.06.30 23:59
2026.06.30 09:41:31,528871447,buy,0.14 / 0.14,XAUUSD-STDc,market,0,0,2026.06.30 09:41:31,filled,copy #944529844,Sheet15,2026.06.30 23:59
2026.06.30 09:41:31,528871622,buy,0.09 / 0.09,XAUUSD-STDc,market,0,0,2026.06.30 09:41:31,filled,copy #944529855,Sheet15,2026.06.30 23:59
2026.06.30 09:41:32,528871788,buy,0.06 / 0.06,XAUUSD-STDc,market,0,0,2026.06.30 09:41:32,filled,copy #944529914,Sheet15,2026.06.30 23:59
2026.06.30 09:41:32,528871966,buy,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.06.30 09:41:33,filled,copy #944529985,Sheet15,2026.06.30 23:59
2026.06.30 09:41:33,528872146,buy,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.06.30 09:41:33,filled,copy #944530058,Sheet15,2026.06.30 23:59
2026.06.30 09:41:33,528872310,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.30 09:41:34,filled,copy #944530181,Sheet15,2026.06.30 23:59
2026.06.30 09:41:34,528872521,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.30 09:41:34,filled,copy #944530245,Sheet15,2026.06.30 23:59
2026.06.30 10:00:07,528979048,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:00:07,filled,copy #944598481,Sheet15,2026.06.30 23:59
2026.06.30 10:00:09,528979319,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:00:09,filled,copy #944599000,Sheet15,2026.06.30 23:59
2026.06.30 10:03:23,528989526,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:03:24,filled,copy #944609565,Sheet15,2026.06.30 23:59
2026.06.30 10:03:25,528989743,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:03:26,filled,copy #944609687,Sheet15,2026.06.30 23:59
2026.06.30 10:03:25,528989920,sell,0.54 / 0.54,XAUUSD-STDc,market,0,0,2026.06.30 10:03:26,filled,copy #944609691,Sheet15,2026.06.30 23:59
2026.06.30 10:03:27,528990115,sell,0.41 / 0.41,XAUUSD-STDc,market,0,0,2026.06.30 10:03:27,filled,copy #944609754,Sheet15,2026.06.30 23:59
2026.06.30 10:03:27,528990282,sell,0.31 / 0.31,XAUUSD-STDc,market,0,0,2026.06.30 10:03:27,filled,copy #944609756,Sheet15,2026.06.30 23:59
2026.06.30 10:03:32,528990521,sell,0.24 / 0.24,XAUUSD-STDc,market,0,0,2026.06.30 10:03:33,filled,copy #944610036,Sheet15,2026.06.30 23:59
2026.06.30 10:03:34,528990701,sell,0.18 / 0.18,XAUUSD-STDc,market,0,0,2026.06.30 10:03:34,filled,copy #944610075,Sheet15,2026.06.30 23:59
2026.06.30 10:03:36,528990940,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:03:37,filled,copy #944610232,Sheet15,2026.06.30 23:59
2026.06.30 10:03:43,528991465,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:03:44,filled,copy #944610809,Sheet15,2026.06.30 23:59
2026.06.30 10:03:44,528991633,sell,0.06 / 0.06,XAUUSD-STDc,market,0,0,2026.06.30 10:03:44,filled,copy #944610840,Sheet15,2026.06.30 23:59
2026.06.30 10:03:44,528992145,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:03:44,filled,copy #944610844,Sheet15,2026.06.30 23:59
2026.06.30 10:03:44,528991967,sell,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.30 10:03:44,filled,copy #944610843,Sheet15,2026.06.30 23:59
2026.06.30 10:03:44,528991897,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:03:44,filled,copy #944610849,Sheet15,2026.06.30 23:59
2026.06.30 10:03:44,528992480,sell,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.06.30 10:03:45,filled,copy #944610846,Sheet15,2026.06.30 23:59
2026.06.30 10:03:44,528992311,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:03:45,filled,copy #944610845,Sheet15,2026.06.30 23:59
2026.06.30 10:03:46,528993003,sell,0.09 / 0.09,XAUUSD-STDc,market,0,0,2026.06.30 10:03:46,filled,copy #944611064,Sheet15,2026.06.30 23:59
2026.06.30 10:03:46,528992668,sell,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.06.30 10:03:46,filled,copy #944611058,Sheet15,2026.06.30 23:59
2026.06.30 10:03:46,528992836,sell,0.11 / 0.11,XAUUSD-STDc,market,0,0,2026.06.30 10:03:46,filled,copy #944611063,Sheet15,2026.06.30 23:59
