pair,year,gap_start,gap_end,gap_minutes,missing_minutes
GBPUSD,2023,2023-03-22T03:59:00Z,2023-03-22T05:00:00Z,61,60
GBPUSD,2023,2023-03-22T05:59:00Z,2023-03-22T07:00:00Z,61,60
GBPUSD,2023,2023-03-22T08:59:00Z,2023-03-22T11:00:00Z,121,120
GBPUSD,2023,2023-03-22T11:59:00Z,2023-03-22T13:00:00Z,61,60
GBPUSD,2023,2023-03-22T13:59:00Z,2023-03-22T15:00:00Z,61,60
GBPUSD,2023,2023-03-22T15:59:00Z,2023-03-22T17:00:00Z,61,60
GBPUSD,2023,2023-03-22T17:59:00Z,2023-03-22T19:00:00Z,61,60
GBPUSD,2023,2023-03-23T03:59:00Z,2023-03-23T05:00:00Z,61,60
GBPUSD,2023,2023-03-23T05:59:00Z,2023-03-23T07:00:00Z,61,60
GBPUSD,2023,2023-03-23T07:59:00Z,2023-03-23T09:00:00Z,61,60
GBPUSD,2023,2023-03-23T09:59:00Z,2023-03-23T11:00:00Z,61,60
GBPUSD,2023,2023-03-23T11:59:00Z,2023-03-23T13:00:00Z,61,60
GBPUSD,2023,2023-03-23T13:59:00Z,2023-03-23T15:00:00Z,61,60
GBPUSD,2023,2023-03-23T15:59:00Z,2023-03-23T17:00:00Z,61,60
GBPUSD,2023,2023-03-23T17:59:00Z,2023-03-23T19:00:00Z,61,60
GBPUSD,2023,2023-03-24T03:59:00Z,2023-03-24T05:00:00Z,61,60
GBPUSD,2023,2023-03-24T05:59:00Z,2023-03-24T07:00:00Z,61,60
GBPUSD,2023,2023-03-24T08:59:00Z,2023-03-24T10:00:00Z,61,60
GBPUSD,2023,2023-03-24T10:59:00Z,2023-03-24T12:00:00Z,61,60
GBPUSD,2023,2023-03-24T12:59:00Z,2023-03-24T15:00:00Z,121,120
GBPUSD,2023,2023-03-24T15:59:00Z,2023-03-27T00:00:00Z,481,480
GBPUSD,2023,2023-03-27T06:59:00Z,2023-03-27T08:00:00Z,61,60
GBPUSD,2023,2023-03-27T08:59:00Z,2023-03-27T11:00:00Z,121,120
GBPUSD,2023,2023-03-27T12:59:00Z,2023-03-27T14:00:00Z,61,60
GBPUSD,2023,2023-03-27T14:59:00Z,2023-03-27T16:00:00Z,61,60
GBPUSD,2023,2023-03-27T16:59:00Z,2023-03-27T18:00:00Z,61,60
GBPUSD,2023,2023-03-27T18:59:00Z,2023-03-27T20:00:00Z,61,60
GBPUSD,2023,2023-03-28T06:59:00Z,2023-03-28T08:00:00Z,61,60
GBPUSD,2023,2023-03-28T08:59:00Z,2023-03-28T10:00:00Z,61,60
GBPUSD,2023,2023-03-28T10:59:00Z,2023-03-28T12:00:00Z,61,60
GBPUSD,2023,2023-03-28T12:59:00Z,2023-03-28T15:00:00Z,121,120
GBPUSD,2023,2023-03-28T15:59:00Z,2023-03-28T17:00:00Z,61,60
GBPUSD,2023,2023-03-29T05:59:00Z,2023-03-29T07:00:00Z,61,60
GBPUSD,2023,2023-03-29T07:59:00Z,2023-03-29T09:00:00Z,61,60
GBPUSD,2023,2023-03-29T09:59:00Z,2023-03-29T11:00:00Z,61,60
GBPUSD,2023,2023-03-29T11:59:00Z,2023-03-29T13:00:00Z,61,60
GBPUSD,2023,2023-03-29T13:59:00Z,2023-03-29T15:00:00Z,61,60
GBPUSD,2023,2023-03-29T15:59:00Z,2023-03-29T17:00:00Z,61,60
GBPUSD,2023,2023-03-29T17:59:00Z,2023-03-29T19:00:00Z,61,60
GBPUSD,2023,2023-03-30T05:59:00Z,2023-03-30T07:00:00Z,61,60
GBPUSD,2023,2023-03-30T07:59:00Z,2023-03-30T09:00:00Z,61,60
GBPUSD,2023,2023-03-30T09:59:00Z,2023-03-30T11:00:00Z,61,60
GBPUSD,2023,2023-03-30T11:59:00Z,2023-03-30T13:00:00Z,61,60
GBPUSD,2023,2023-03-30T13:59:00Z,2023-03-30T15:00:00Z,61,60
GBPUSD,2023,2023-03-30T15:59:00Z,2023-03-30T17:00:00Z,61,60
GBPUSD,2023,2023-03-30T17:59:00Z,2023-03-30T19:00:00Z,61,60
GBPUSD,2023,2023-03-31T05:59:00Z,2023-03-31T07:00:00Z,61,60
GBPUSD,2023,2023-03-31T07:59:00Z,2023-03-31T09:00:00Z,61,60
GBPUSD,2023,2023-03-31T11:59:00Z,2023-03-31T14:00:00Z,121,120
GBPUSD,2023,2023-03-31T14:59:00Z,2023-04-03T00:00:00Z,541,540
GBPUSD,2023,2023-04-03T06:59:00Z,2023-04-03T09:00:00Z,121,120
GBPUSD,2023,2023-04-03T09:59:00Z,2023-04-03T11:00:00Z,61,60
GBPUSD,2023,2023-04-03T11:59:00Z,2023-04-03T13:00:00Z,61,60
GBPUSD,2023,2023-04-03T14:59:00Z,2023-04-03T18:00:00Z,181,180
GBPUSD,2023,2023-04-04T05:59:00Z,2023-04-04T07:00:00Z,61,60
GBPUSD,2023,2023-04-04T08:59:00Z,2023-04-04T10:00:00Z,61,60
GBPUSD,2023,2023-04-04T10:59:00Z,2023-04-04T13:00:00Z,121,120
GBPUSD,2023,2023-04-04T13:59:00Z,2023-04-04T15:00:00Z,61,60
GBPUSD,2023,2023-04-04T16:59:00Z,2023-04-04T19:00:00Z,121,120
GBPUSD,2023,2023-04-05T06:59:00Z,2023-04-05T09:00:00Z,121,120
GBPUSD,2023,2023-04-05T10:59:00Z,2023-04-05T12:00:00Z,61,60
GBPUSD,2023,2023-04-05T12:59:00Z,2023-04-05T15:00:00Z,121,120
GBPUSD,2023,2023-04-05T15:59:00Z,2023-04-05T17:00:00Z,61,60
GBPUSD,2023,2023-04-05T18:59:00Z,2023-04-05T20:00:00Z,61,60
GBPUSD,2023,2023-04-06T05:59:00Z,2023-04-06T07:00:00Z,61,60
GBPUSD,2023,2023-04-06T08:59:00Z,2023-04-06T10:00:00Z,61,60
GBPUSD,2023,2023-04-06T10:59:00Z,2023-04-06T13:00:00Z,121,120
GBPUSD,2023,2023-04-06T14:59:00Z,2023-04-06T16:00:00Z,61,60
GBPUSD,2023,2023-04-06T16:59:00Z,2023-04-06T19:00:00Z,121,120
GBPUSD,2023,2023-04-06T19:59:00Z,2023-04-10T00:00:00Z,1681,1680
